Transect_ID,Distance_From_North_km,Coastal_Zone,Geology,Cliff_Elevation_m,Defense_Status,Defense_Type,SMP_Policy,EPR_Erosion_Rate_m_yr,LRR_Regression_Rate_m_yr,R_Squared,Std_Error_m_yr,NSM_Total_Retreat_m,SCE_Envelope_m,Downdrift_Starvation_Index,Projected_Retreat_2050_Baseline_m,Projected_Retreat_2050_Climate_Accelerated_m,Projected_Retreat_2100_Baseline_m,Projected_Retreat_2100_Climate_Accelerated_m,Hazard_Class,Hazard_Color
1,0.0,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),50.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.29,0.3,0.975,0.034,10.4,10.7,0.0,7.0,8.0,21.5,27.9,Low / Defended (<1.0 m/yr),#10b981
2,0.51,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),47.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.43,0.45,0.978,0.047,15.5,16.5,0.0,10.3,11.9,31.8,41.4,Low / Defended (<1.0 m/yr),#10b981
3,1.02,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),42.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.15,0.14,0.875,0.036,5.4,5.6,0.0,3.6,4.1,11.1,14.4,Low / Defended (<1.0 m/yr),#10b981
4,1.53,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),37.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.15,0.19,0.532,0.129,5.4,5.6,0.0,3.6,4.1,11.1,14.4,Low / Defended (<1.0 m/yr),#10b981
5,2.03,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),34.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.12,0.1,0.665,0.05,4.3,4.5,0.0,2.9,3.3,8.9,11.5,Low / Defended (<1.0 m/yr),#10b981
6,2.54,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),39.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.12,0.14,0.825,0.045,4.3,4.5,0.0,2.9,3.3,8.9,11.5,Low / Defended (<1.0 m/yr),#10b981
7,3.05,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),0.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.14,0.12,0.671,0.058,5.0,5.1,0.0,3.4,3.9,10.4,13.5,Low / Defended (<1.0 m/yr),#10b981
8,3.56,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),0.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.27,0.29,0.925,0.059,9.7,10.0,0.0,6.5,7.5,20.0,26.0,Low / Defended (<1.0 m/yr),#10b981
9,4.07,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),0.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.14,0.12,0.552,0.076,5.0,5.1,0.0,3.4,3.9,10.4,13.5,Low / Defended (<1.0 m/yr),#10b981
10,4.58,Flamborough Chalk Headland,Upper Cretaceous Chalk (Flamborough Formation),0.0,Natural High Resistance,Natural Resistant Headland (No Defenses Needed),No Active Intervention (NAI),0.12,0.13,0.936,0.024,4.3,4.6,0.0,2.9,3.3,8.9,11.5,Low / Defended (<1.0 m/yr),#10b981
11,5.08,Bridlington Protected Bay,Till overlain with beach sand / alluvium,0.0,Heavily Defended,"Concrete Seawall, Timber Groynes, Rock Armour",Hold the Line (HTL),0.41,0.41,0.915,0.087,14.8,16.0,0.05,9.8,11.3,30.3,39.4,Low / Defended (<1.0 m/yr),#10b981
